Exercice;Outre-mer;Code Insee 2024 Région;Nom 2024 Région;Code Insee 2024 Département;Nom 2024 Département;Code Siren 2024 EPCI;Nom 2024 EPCI;Strate population 2024;Commune rurale;Commune de montagne;Commune touristique;Tranche revenu par habitant;Présence QPV;Code Insee 2024 Commune;Nom 2024 Commune;Catégorie;Code Siren Collectivité;Code Insee Collectivité;Siret Budget;Libellé Budget;Type de budget;Nomenclature;Agrégat;Montant;Montant en millions;Population totale;Montant en € par habitant;Compte 2024 Disponible;code_type_budget;ordre_analyse1_section1;ordre_analyse1_section2;ordre_analyse1_section3;ordre_analyse2_section1;ordre_analyse2_section2;ordre_analyse2_section3;ordre_analyse3_section1;ordre_analyse3_section2;ordre_analyse3_section3;ordre_analyse4_section1;annee_join;Population totale du dernier exercice
2024;Oui;01;Guadeloupe;971;Guadeloupe;249710062;Communauté d'agglomération du Nord Basse-Terre;7;Non;Non;Non;1;Non;97129;Sainte-Rose;Commune;219711298;97129;21971129800188;LOT COMMUNAUX SAINTE ROSE;Budget annexe;M57;Achats et charges externes;0.0;0.0;17878;0.0;1;3;;;;;3;;;;;;2024;17878
2024;Oui;01;Guadeloupe;971;Guadeloupe;249710070;Communauté d'agglomération Grand Sud Caraïbe;3;Oui;Non;Non;0;Non;97130;Terre-de-Bas;Commune;219711306;97130;21971130600015;TERRE DE BAS;Budget principal;M57A;Achats et charges externes;720511.37;0.72051137;937;768.9555709711847;1;1;;;;;3;;;;;;2024;937
2024;Oui;01;Guadeloupe;971;Guadeloupe;249710070;Communauté d'agglomération Grand Sud Caraïbe;3;Oui;Non;Non;1;Non;97131;Terre-de-Haut;Commune;219711314;97131;21971131400019;TERRE DE HAUT;Budget principal;M57A;Achats et charges externes;628258.03;0.62825803;1544;406.9028691709845;1;1;;;;;3;;;;;;2024;1544
2024;Oui;01;Guadeloupe;971;Guadeloupe;249710070;Communauté d'agglomération Grand Sud Caraïbe;3;Oui;Non;Non;1;Non;97131;Terre-de-Haut;Commune;219711314;97131;21971131400068;GESTION DU BATEAU BEATRIX;Budget annexe;M43;Achats et charges externes;0.0;0.0;1544;0.0;1;3;;;;;3;;;;;;2024;1544
2024;Oui;01;Guadeloupe;971;Guadeloupe;249710070;Communauté d'agglomération Grand Sud Caraïbe;6;Non;Oui;Non;1;Non;97132;Trois-Rivières;Commune;219711322;97132;21971132200012;TROIS RIVIERES;Budget principal;M57;Achats et charges externes;3846260.08;3.84626008;7763;495.4605281463352;1;1;;;;;3;;;;;;2024;7763
2024;Oui;01;Guadeloupe;971;Guadeloupe;249710070;Communauté d'agglomération Grand Sud Caraïbe;6;Non;Oui;Non;1;Non;97132;Trois-Rivières;Commune;219711322;97132;21971132200129;EAU TROIS RIVIERES;Budget annexe;M49;Achats et charges externes;0.0;0.0;7763;0.0;1;3;;;;;3;;;;;;2024;7763
2024;Oui;01;Guadeloupe;971;Guadeloupe;249710070;Communauté d'agglomération Grand Sud Caraïbe;6;Non;Oui;Non;1;Non;97132;Trois-Rivières;Commune;219711322;97132;21971132200137;ASST TROIS RIVIERES;Budget annexe;M49;Achats et charges externes;0.0;0.0;7763;0.0;1;3;;;;;3;;;;;;2024;7763
2024;Oui;01;Guadeloupe;971;Guadeloupe;249710070;Communauté d'agglomération Grand Sud Caraïbe;3;Non;Oui;Non;1;Non;97133;Vieux-Fort;Commune;219711330;97133;21971133000015;VIEUX FORT;Budget principal;M57;Achats et charges externes;466094.78;0.46609478000000004;1816;256.6601211453745;1;1;;;;;3;;;;;;2024;1816
2024;Oui;01;Guadeloupe;971;Guadeloupe;249710070;Communauté d'agglomération Grand Sud Caraïbe;6;Non;Oui;Non;1;Non;97134;Vieux-Habitants;Commune;219711348;97134;21971134800017;VIEUX HABITANTS;Budget principal;M57;Achats et charges externes;2346794.09;2.34679409;7191;326.35156306494224;1;1;;;;;3;;;;;;2024;7191
2024;Oui;01;Guadeloupe;971;Guadeloupe;249710070;Communauté d'agglomération Grand Sud Caraïbe;6;Non;Oui;Non;1;Non;97134;Vieux-Habitants;Commune;219711348;97134;21971134800082;LOT ANSE LA BARQUE VIEUX HABITANTS;Budget annexe;M57;Achats et charges externes;0.0;0.0;7191;0.0;1;3;;;;;3;;;;;;2024;7191
2024;Oui;01;Guadeloupe;971;Guadeloupe;200018653;Communauté d'agglomération Cap Excellence;9;Non;Oui;Non;1;Non;97101;Les Abymes;Commune;219711017;97101;21971101700018;ABYMES;Budget principal;M57;Crédits de trésorerie;3000000.0;3.0;52586;57.04940478454341;1;1;;;;;;;;;;;2024;52586
2024;Oui;01;Guadeloupe;971;Guadeloupe;200044691;Communauté d'agglomération du Nord Grande Terre;5;Non;Non;Non;1;Non;97102;Anse-Bertrand;Commune;219711025;97102;21971102500011;ANSE BERTRAND;Budget principal;M57;Crédits de trésorerie;0.0;0.0;4107;0.0;1;1;;;;;;;;;;;2024;4107
2024;Oui;01;Guadeloupe;971;Guadeloupe;200018653;Communauté d'agglomération Cap Excellence;8;Non;Non;Non;2;Non;97103;Baie-Mahault;Commune;219711033;97103;21971103300015;BAIE MAHAULT;Budget principal;M57;Crédits de trésorerie;3500000.0;3.5;31370;111.57156518967166;1;1;;;;;;;;;;;2024;31370
2024;Oui;01;Guadeloupe;971;Guadeloupe;200018653;Communauté d'agglomération Cap Excellence;8;Non;Non;Non;2;Non;97103;Baie-Mahault;Commune;219711033;97103;21971103300122;LOT BLACHON PIKA BAIE MAHAULT;Budget annexe;M57;Crédits de trésorerie;0.0;0.0;31370;0.0;1;3;;;;;;;;;;;2024;31370
