Exercice,Nom 2024 Commune,Nom 2024 Département,Agrégat,Montant,Montant en millions,Population totale,Montant en € par habitant
2024,Morne-à-l'Eau,Guadeloupe,Autres impôts et taxes,11450979.99,11.45097999,16089,711.7272664553421
2024,Le Moule,Guadeloupe,Autres impôts et taxes,15982515.42,15.98251542,22949,696.4362464595407
2024,Petit-Bourg,Guadeloupe,Autres impôts et taxes,17646768.54,17.64676854,24560,718.5166343648208
2024,Petit-Canal,Guadeloupe,Autres impôts et taxes,6326156.36,6.326156360000001,8325,759.8986618618619
2024,Pointe-à-Pitre,Guadeloupe,Autres impôts et taxes,11134971.74,11.13497174,14576,763.9250644895719
2024,Pointe-Noire,Guadeloupe,Autres impôts et taxes,5020586.82,5.02058682,6012,835.0942814371258
2024,Port-Louis,Guadeloupe,Autres impôts et taxes,4365794.32,4.36579432,5655,772.0237524314766
2024,Saint-Claude,Guadeloupe,Autres impôts et taxes,7636890.44,7.63689044,10900,700.6321504587156
2024,Saint-François,Guadeloupe,Autres impôts et taxes,11538595.76,11.53859576,13150,877.4597536121673
2024,Saint-Louis,Guadeloupe,Autres impôts et taxes,2798721.0,2.798721,2561,1092.823506442796
2024,Sainte-Anne,Guadeloupe,Autres impôts et taxes,17235826.22,17.23582622,24518,702.9866310465779
2024,Sainte-Rose,Guadeloupe,Autres impôts et taxes,13316167.1,13.3161671,17878,744.835389864638
2024,Terre-de-Bas,Guadeloupe,Autres impôts et taxes,2447804.34,2.44780434,937,2612.3845677694767
2024,Terre-de-Haut,Guadeloupe,Autres impôts et taxes,2696834.65,2.69683465,1544,1746.6545660621762
2024,Trois-Rivières,Guadeloupe,Autres impôts et taxes,5818688.99,5.81868899,7763,749.5412842973078
2024,Vieux-Fort,Guadeloupe,Autres impôts et taxes,2243516.98,2.24351698,1816,1235.4168392070485
2024,Vieux-Habitants,Guadeloupe,Autres impôts et taxes,5254922.18,5.254922179999999,7191,730.763757474621
2024,Les Abymes,Guadeloupe,Charges financières,2806240.85,2.80624085,52586,53.3647900581904
2024,Anse-Bertrand,Guadeloupe,Charges financières,72388.36,0.07238836,4107,17.625605064523985
2024,Baie-Mahault,Guadeloupe,Charges financières,855875.31,0.8558753100000001,31370,27.28324226968441
2024,Baie-Mahault,Guadeloupe,Charges financières,0.0,0.0,31370,0.0
2024,Baillif,Guadeloupe,Charges financières,277928.29,0.2779282899999999,5127,54.208755607567774
2024,Baillif,Guadeloupe,Charges financières,0.0,0.0,5127,0.0
2024,Basse-Terre,Guadeloupe,Charges financières,117932.66,0.11793266,9973,11.825194023864434
2024,Basse-Terre,Guadeloupe,Charges financières,312558.07,0.31255807,9973,31.34042615060664
2024,Bouillante,Guadeloupe,Charges financières,110317.12,0.1103171199999999,6729,16.39428146827166
2024,Bouillante,Guadeloupe,Charges financières,0.0,0.0,6729,0.0
2024,Capesterre-Belle-Eau,Guadeloupe,Charges financières,685814.11,0.68581411,17888,38.33933978085867
2024,Capesterre-de-Marie-Galante,Guadeloupe,Charges financières,15377.15,0.01537715,3226,4.766630502169869
2024,Capesterre-de-Marie-Galante,Guadeloupe,Charges financières,0.0,0.0,3226,0.0
2024,Gourbeyre,Guadeloupe,Charges financières,28230.85,0.02823085,7617,3.706295129316004
2024,Gourbeyre,Guadeloupe,Charges financières,0.0,0.0,7617,0.0
2024,La Désirade,Guadeloupe,Charges financières,837.46,0.00083746,1420,0.5897605633802817
2024,La Désirade,Guadeloupe,Charges financières,0.0,0.0,1420,0.0
2024,Deshaies,Guadeloupe,Charges financières,65237.86,0.06523786,3976,16.407912474849095
2024,Deshaies,Guadeloupe,Charges financières,0.0,0.0,3976,0.0
2024,Grand-Bourg,Guadeloupe,Charges financières,112053.03,0.11205303,4813,23.281327654269685
2024,Le Gosier,Guadeloupe,Charges financières,976375.6,0.9763756,27437,35.58609177388198
2024,Le Gosier,Guadeloupe,Charges financières,0.0,0.0,27437,0.0
2024,Goyave,Guadeloupe,Charges financières,34017.16,0.03401716,7780,4.372385604113111
2024,Lamentin,Guadeloupe,Charges financières,180825.51,0.18082551,18804,9.616332163369496
2024,Morne-à-l'Eau,Guadeloupe,Charges financières,239061.1,0.2390611,16089,14.85866741251787
2024,Morne-à-l'Eau,Guadeloupe,Charges financières,0.0,0.0,16089,0.0
2024,Le Moule,Guadeloupe,Charges financières,264988.81,0.26498881,22949,11.546856507908842
2024,Le Moule,Guadeloupe,Charges financières,0.0,0.0,22949,0.0
2024,Petit-Bourg,Guadeloupe,Charges financières,389031.41,0.3890314099999999,24560,15.8400411237785
2024,Petit-Canal,Guadeloupe,Charges financières,26755.54,0.02675554,8325,3.213878678678679
2024,Pointe-à-Pitre,Guadeloupe,Charges financières,1334824.5,1.3348245,14576,91.57687294182216
2024,Pointe-à-Pitre,Guadeloupe,Charges financières,25163.72,0.02516372,14576,1.7263803512623492
2024,Pointe-Noire,Guadeloupe,Charges financières,18735.03,0.01873503,6012,3.11627245508982
2024,Port-Louis,Guadeloupe,Charges financières,36473.79,0.03647379,5655,6.449830238726791
2024,Saint-Claude,Guadeloupe,Charges financières,21328.59,0.02132859,10900,1.956751376146789
2024,Saint-François,Guadeloupe,Charges financières,528034.21,0.52803421,13150,40.1546927756654
2024,Saint-François,Guadeloupe,Charges financières,0.0,0.0,13150,0.0
2024,Saint-Louis,Guadeloupe,Charges financières,0.0,0.0,2561,0.0
2024,Sainte-Anne,Guadeloupe,Charges financières,487031.89,0.48703189,24518,19.86425850395628
2024,Sainte-Rose,Guadeloupe,Charges financières,195743.55,0.19574355,17878,10.948850542566282
2024,Sainte-Rose,Guadeloupe,Charges financières,0.0,0.0,17878,0.0
2024,Terre-de-Bas,Guadeloupe,Charges financières,0.0,0.0,937,0.0
2024,Terre-de-Haut,Guadeloupe,Charges financières,44603.32,0.04460332,1544,28.888160621761656
2024,Terre-de-Haut,Guadeloupe,Charges financières,0.0,0.0,1544,0.0
2024,Trois-Rivières,Guadeloupe,Charges financières,56616.59,0.0566165899999999,7763,7.293132809480871
2024,Trois-Rivières,Guadeloupe,Charges financières,0.0,0.0,7763,0.0
2024,Vieux-Fort,Guadeloupe,Charges financières,47604.0,0.047604,1816,26.2136563876652
2024,Vieux-Habitants,Guadeloupe,Charges financières,100099.05,0.10009905,7191,13.920045890696704
2024,Vieux-Habitants,Guadeloupe,Charges financières,0.0,0.0,7191,0.0
2024,Les Abymes,Guadeloupe,Autres dotations et subventions,9657848.91,9.65784891,52586,183.65817727151716
2024,Anse-Bertrand,Guadeloupe,Autres dotations et subventions,835159.0,0.835159,4107,203.3501339177015
2024,Baie-Mahault,Guadeloupe,Autres dotations et subventions,6917647.81,6.917647809999999,31370,220.5179410264584
2024,Baie-Mahault,Guadeloupe,Autres dotations et subventions,0.0,0.0,31370,0.0
2024,Baillif,Guadeloupe,Autres dotations et subventions,3520579.86,3.52057986,5127,686.6744411936805
